Sample_#,CAMPUS,YEAR_x,CNAME_x,DNAME_x,e1_all_docs_n,e1_all_unsatgl_rm,e1_all_approgl_rm,e1_all_meetsgl_rm,e1_all_mastrgl_rm,YEAR_y,CNAME_y,DNAME_y,e2_all_docs_n,e2_all_unsatgl_rm,e2_all_approgl_rm,e2_all_meetsgl_rm,e2_all_mastrgl_rm
1282,144902001,17,LEXINGTON H S,LEXINGTON ISD,74,26,74,50,14,18,LEXINGTON H S,LEXINGTON ISD,73,22,78,55,7
1283,144903001,17,DIME BOX SCHOOL,DIME BOX ISD,16,63,38,13,0,18,DIME BOX SCHOOL,DIME BOX ISD,16,31,69,38,0
1284,145901002,17,BUFFALO H S,BUFFALO ISD,84,41,59,36,2,18,BUFFALO H S,BUFFALO ISD,69,41,59,48,3
1285,145902001,17,CENTERVILLE JR-,CENTERVILLE ISD,72,34,66,51,1,18,CENTERVILLE JR-,CENTERVILLE ISD,62,25,75,59,2
1286,145906001,17,NORMANGEE H S,NORMANGEE ISD,52,35,65,52,6,18,NORMANGEE H S,NORMANGEE ISD,53,34,66,47,6
1287,145907002,17,OAKWOOD H S,OAKWOOD ISD,14,36,64,50,0,18,OAKWOOD H S,OAKWOOD ISD,15,40,60,53,0
1288,145911002,17,LEON H S,LEON ISD,54,33,67,57,17,18,LEON H S,LEON ISD,58,37,63,54,14
1289,146901001,17,CLEVELAND H S,CLEVELAND ISD,509,59,41,21,1,18,CLEVELAND H S,CLEVELAND ISD,501,52,48,29,2
1290,146901004,17,FREDERICK A DOU,CLEVELAND ISD,13,85,15,8,0,18,FREDERICK A DOU,CLEVELAND ISD,15,92,8,0,0
1291,146902002,17,DAYTON H S,DAYTON ISD,510,45,55,40,6,18,DAYTON H S,DAYTON ISD,499,40,60,43,6
1292,146902007,17,FREDDA NOTTINGH,DAYTON ISD,2,,,,,18,FREDDA NOTTINGH,DAYTON ISD,3,,,,
1293,146904001,17,HARDIN H S,HARDIN ISD,133,37,63,42,6,18,HARDIN H S,HARDIN ISD,114,29,71,54,5
1294,146905001,17,HULL-DAISETTA H,HULL-DAISETTA I,57,42,58,51,2,18,HULL-DAISETTA H,HULL-DAISETTA I,52,38,62,44,4
1295,146906001,17,LIBERTY H S,LIBERTY ISD,188,51,49,31,5,18,LIBERTY H S,LIBERTY ISD,167,39,61,45,5
1296,146907001,17,TARKINGTON H S,TARKINGTON ISD,163,27,73,58,8,18,TARKINGTON H S,TARKINGTON ISD,152,25,75,59,7
1297,147901001,17,COOLIDGE H S,COOLIDGE ISD,22,55,45,27,0,18,COOLIDGE H S,COOLIDGE ISD,24,65,35,17,4
1298,147902001,17,GROESBECK H S,GROESBECK ISD,156,42,58,35,3,18,GROESBECK H S,GROESBECK ISD,141,41,59,43,3
1299,147902003,17,LIMESTONE COUNT,GROESBECK ISD,1,,,,,18,LIMESTONE COUNT,GROESBECK ISD,2,,,,
1300,147903002,17,MEXIA H S,MEXIA ISD,157,38,62,37,4,18,MEXIA H S,MEXIA ISD,151,42,58,43,3
1301,148901001,17,BOOKER JH/H S,BOOKER ISD,29,31,69,55,10,18,BOOKER JH/H S,BOOKER ISD,29,24,76,59,10
1302,148902001,17,FOLLETT SCHOOL,FOLLETT ISD,12,25,75,58,0,18,FOLLETT SCHOOL,FOLLETT ISD,12,17,83,42,0
1303,148903001,17,HIGGINS SCHOOL,HIGGINS ISD,15,40,60,40,13,18,HIGGINS SCHOOL,HIGGINS ISD,9,33,67,44,11
1304,148905101,17,DARROUZETT SCHO,DARROUZETT ISD,8,38,63,25,0,18,DARROUZETT SCHO,DARROUZETT ISD,8,38,63,50,0
1305,149901001,17,GEORGE WEST H S,GEORGE WEST ISD,112,30,70,47,9,18,GEORGE WEST H S,GEORGE WEST ISD,98,22,78,66,15
1306,149902001,17,THREE RIVERS JR,THREE RIVERS IS,84,51,49,25,1,18,THREE RIVERS JR,THREE RIVERS IS,71,25,75,48,3
1307,150901001,17,LLANO H S,LLANO ISD,184,41,59,47,8,18,LLANO H S,LLANO ISD,152,28,72,55,9
1308,152504001,17,TEXAS TECH H S,TEXAS TECH UNIV,23,0,100,91,22,18,TEXAS TECH H S,TEXAS TECH UNIV,22,12,88,82,24
1309,152803001,17,SOUTH PLAINS AC,SOUTH PLAINS AC,97,79,21,9,0,18,SOUTH PLAINS AC,SOUTH PLAINS AC,94,75,25,11,0
1310,152901011,17,MATTHEWS LEARNI,LUBBOCK ISD,35,76,24,3,0,18,MATTHEWS LEARNI,LUBBOCK ISD,56,78,22,8,0
