Sample_#,CAMPUS,YEAR_x,CNAME_x,DNAME_x,e1_all_docs_n,e1_all_unsatgl_rm,e1_all_approgl_rm,e1_all_meetsgl_rm,e1_all_mastrgl_rm,YEAR_y,CNAME_y,DNAME_y,e2_all_docs_n,e2_all_unsatgl_rm,e2_all_approgl_rm,e2_all_meetsgl_rm,e2_all_mastrgl_rm
0,1902001,17,CAYUGA H S,CAYUGA ISD,41,34,66,41,2,18,CAYUGA H S,CAYUGA ISD,38,30,70,54,3
1,1903001,17,ELKHART H S,ELKHART ISD,107,30,70,52,7,18,ELKHART H S,ELKHART ISD,102,27,73,57,5
2,1904001,17,FRANKSTON H S,FRANKSTON ISD,67,24,76,54,6,18,FRANKSTON H S,FRANKSTON ISD,63,32,68,48,3
3,1906002,17,NECHES H S,NECHES ISD,44,32,68,52,5,18,NECHES H S,NECHES ISD,34,18,82,68,9
4,1907001,17,PALESTINE H S,PALESTINE ISD,332,47,53,35,3,18,PALESTINE H S,PALESTINE ISD,308,38,62,43,4
5,1908002,17,WESTWOOD H S,WESTWOOD ISD,141,43,57,34,0,18,WESTWOOD H S,WESTWOOD ISD,126,33,67,48,1
6,1909001,17,SLOCUM H S,SLOCUM ISD,35,29,71,54,9,18,SLOCUM H S,SLOCUM ISD,33,15,85,70,12
7,2901001,17,ANDREWS H S,ANDREWS ISD,355,45,55,39,2,18,ANDREWS H S,ANDREWS ISD,296,34,66,48,3
8,2901002,17,ANDREWS EDUCATI,ANDREWS ISD,12,67,33,17,0,18,ANDREWS EDUCATI,ANDREWS ISD,14,71,29,14,0
9,3801001,17,PINEYWOODS COMM,PINEYWOODS COMM,82,32,68,38,4,18,PINEYWOODS COMM,PINEYWOODS COMM,67,26,74,62,6
10,3902001,17,HUDSON H S,HUDSON ISD,232,29,71,55,13,18,HUDSON H S,HUDSON ISD,222,21,79,67,11
11,3902004,17,STUBBLEFIELD LR,HUDSON ISD,2,,,,,18,STUBBLEFIELD LR,HUDSON ISD,5,100,0,0,0
12,3903001,17,LUFKIN H S,LUFKIN ISD,674,45,55,34,3,18,LUFKIN H S,LUFKIN ISD,611,45,55,38,4
13,3903004,17,STUBBLEFIELD LR,LUFKIN ISD,6,100,0,0,0,18,STUBBLEFIELD LR,LUFKIN ISD,20,79,21,11,0
14,3903201,17,JUVENILE DETENT,LUFKIN ISD,9,78,22,11,0,18,JUVENILE DETENT,LUFKIN ISD,2,,,,
15,3904001,17,HUNTINGTON H S,HUNTINGTON ISD,173,39,61,46,6,18,HUNTINGTON H S,HUNTINGTON ISD,153,26,74,60,6
16,3904005,17,PRIDE ALTER SCH,HUNTINGTON ISD,5,100,0,0,0,18,PRIDE ALTER SCH,HUNTINGTON ISD,12,50,50,8,0
17,3905001,17,DIBOLL H S,DIBOLL ISD,201,48,52,36,2,18,DIBOLL H S,DIBOLL ISD,156,32,68,47,3
18,3905004,17,STUBBLEFIELD LR,DIBOLL ISD,2,,,,,18,STUBBLEFIELD LR,DIBOLL ISD,5,80,20,20,0
19,3906001,17,ZAVALLA H S,ZAVALLA ISD,33,48,52,33,0,18,ZAVALLA H S,ZAVALLA ISD,32,34,66,47,0
20,3907001,17,CENTRAL H S,CENTRAL ISD,141,42,58,36,4,18,CENTRAL H S,CENTRAL ISD,122,30,70,44,1
21,4901001,17,ROCKPORT-FULTON,ARANSAS COUNTY,331,44,56,38,4,18,ROCKPORT-FULTON,ARANSAS COUNTY,261,41,59,42,4
22,5901001,17,ARCHER CITY H S,ARCHER CITY ISD,35,17,83,69,17,18,ARCHER CITY H S,ARCHER CITY ISD,34,15,85,79,21
23,5902001,17,HOLLIDAY H S,HOLLIDAY ISD,80,19,81,68,11,18,HOLLIDAY H S,HOLLIDAY ISD,85,13,87,79,12
24,5904001,17,WINDTHORST H S,WINDTHORST ISD,36,28,72,61,3,18,WINDTHORST H S,WINDTHORST ISD,38,32,68,53,3
25,6902001,17,CLAUDE H S,CLAUDE ISD,25,29,71,54,0,18,CLAUDE H S,CLAUDE ISD,25,32,68,64,0
26,7901001,17,CHARLOTTE H S,CHARLOTTE ISD,59,56,44,22,2,18,CHARLOTTE H S,CHARLOTTE ISD,45,44,56,38,7
27,7902001,17,JOURDANTON H S,JOURDANTON ISD,151,44,56,38,3,18,JOURDANTON H S,JOURDANTON ISD,132,35,65,49,3
28,7904001,17,LYTLE H S,LYTLE ISD,154,47,53,33,3,18,LYTLE H S,LYTLE ISD,159,56,44,25,4
29,7905001,17,PLEASANTON H S,PLEASANTON ISD,346,49,51,34,5,18,PLEASANTON H S,PLEASANTON ISD,311,42,58,40,4
30,7905005,17,PLEASANTON ISD,PLEASANTON ISD,6,83,17,0,0,18,PLEASANTON ISD,PLEASANTON ISD,4,,,,
31,7906001,17,POTEET H S,POTEET ISD,166,54,46,29,2,18,POTEET H S,POTEET ISD,147,43,57,41,7
32,8901001,17,BELLVILLE H S,BELLVILLE ISD,211,38,62,45,7,18,BELLVILLE H S,BELLVILLE ISD,197,26,74,59,12
33,8902001,17,SEALY H S,SEALY ISD,242,37,63,43,8,18,SEALY H S,SEALY ISD,226,37,63,51,10
34,8903001,17,BRAZOS H S,BRAZOS ISD,82,28,72,57,9,18,BRAZOS H S,BRAZOS ISD,75,24,76,54,3
35,8903103,17,PRAIRIE HARBOR,BRAZOS ISD,13,92,8,0,0,18,PRAIRIE HARBOR,BRAZOS ISD,19,88,13,13,0
36,9901001,17,MULESHOE H S,MULESHOE ISD,122,51,49,24,2,18,MULESHOE H S,MULESHOE ISD,113,49,51,27,2
37,9901002,17,P E P,MULESHOE ISD,2,,,,,18,P E P,MULESHOE ISD,3,,,,
38,10901001,17,MEDINA SCHOOL,MEDINA ISD,23,22,78,43,17,18,MEDINA SCHOOL,MEDINA ISD,26,31,69,46,0
39,10902001,17,BANDERA H S,BANDERA ISD,185,37,63,45,10,18,BANDERA H S,BANDERA ISD,179,30,70,51,9
40,11901001,17,BASTROP H S,BASTROP ISD,456,55,45,31,4,18,BASTROP H S,BASTROP ISD,440,46,54,36,4
41,11901002,17,CEDAR CREEK H S,BASTROP ISD,561,57,43,26,3,18,CEDAR CREEK H S,BASTROP ISD,524,48,52,37,4
42,11901005,17,COLORADO RIVER,BASTROP ISD,57,9,91,65,14,18,COLORADO RIVER,BASTROP ISD,54,7,93,76,11
43,11901022,17,GENESIS H S,BASTROP ISD,31,89,11,4,0,18,GENESIS H S,BASTROP ISD,44,87,13,8,0
44,11902001,17,ELGIN H S,ELGIN ISD,450,47,53,34,4,18,ELGIN H S,ELGIN ISD,416,45,55,36,5
45,11902004,17,PHOENIX H S,ELGIN ISD,13,100,0,0,0,18,PHOENIX H S,ELGIN ISD,22,76,24,10,0
46,11904002,17,SMITHVILLE H S,SMITHVILLE ISD,144,48,52,38,10,18,SMITHVILLE H S,SMITHVILLE ISD,145,35,65,46,10
47,11905001,17,MCDADE H S,MCDADE ISD,20,30,70,45,0,18,MCDADE H S,MCDADE ISD,18,33,67,50,0
48,12901001,17,SEYMOUR H S,SEYMOUR ISD,46,30,70,52,9,18,SEYMOUR H S,SEYMOUR ISD,44,18,82,64,5
49,13901001,17,A C JONES H S,BEEVILLE ISD,418,57,43,24,1,18,A C JONES H S,BEEVILLE ISD,311,50,50,33,3
50,13903001,17,PETTUS SECONDAR,PETTUS ISD,44,45,55,39,0,18,PETTUS SECONDAR,PETTUS ISD,48,42,58,42,6
51,13905001,17,SKIDMORE-TYNAN,SKIDMORE-TYNAN,82,30,70,60,16,18,SKIDMORE-TYNAN,SKIDMORE-TYNAN,82,21,79,62,20
52,14801001,17,RICHARD MILBURN,RICHARD MILBURN,92,83,17,2,0,18,RICHARD MILBURN,RICHARD MILBURN,55,77,23,10,0
53,14801002,17,RICHARD MILBURN,RICHARD MILBURN,250,92,8,3,0,18,RICHARD MILBURN,RICHARD MILBURN,188,86,14,4,0
54,14801004,17,RICHARD MILBURN,RICHARD MILBURN,73,88,12,1,0,18,RICHARD MILBURN,RICHARD MILBURN,48,91,9,4,0
55,14801005,17,RICHARD MILBURN,RICHARD MILBURN,101,93,7,1,0,18,RICHARD MILBURN,RICHARD MILBURN,85,85,15,5,0
56,14801006,17,RICHARD MILBURN,RICHARD MILBURN,87,88,12,2,0,18,RICHARD MILBURN,RICHARD MILBURN,55,80,20,7,0
57,14801007,17,RICHARD MILBURN,RICHARD MILBURN,223,92,8,3,0,18,RICHARD MILBURN,RICHARD MILBURN,117,78,22,6,0
58,14801008,17,RICHARD MILBURN,RICHARD MILBURN,59,79,21,4,0,18,RICHARD MILBURN,RICHARD MILBURN,32,68,32,3,0
59,14801009,17,RICHARD MILBURN,RICHARD MILBURN,52,90,10,0,0,18,RICHARD MILBURN,RICHARD MILBURN,85,86,14,0,0
60,14801010,17,RICHARD MILBURN,RICHARD MILBURN,45,90,10,0,0,18,RICHARD MILBURN,RICHARD MILBURN,58,88,13,2,0
61,14803003,17,COVE CHARTER AC,PRIORITY CHARTE,11,64,36,18,0,18,COVE CHARTER AC,PRIORITY CHARTE,15,42,58,33,0
62,14803004,17,CEDAR PARK CHAR,PRIORITY CHARTE,18,28,72,61,17,18,CEDAR PARK CHAR,PRIORITY CHARTE,12,42,58,58,0
63,14803101,17,TEMPLE CHARTER,PRIORITY CHARTE,21,43,57,33,5,18,TEMPLE CHARTER,PRIORITY CHARTE,8,29,71,57,0
64,14804002,17,NEW HORIZONS,ORENDA CHARTER,5,100,0,0,0,18,NEW HORIZONS,ORENDA CHARTER,2,,,,
65,14804005,17,GATEWAY TECH H,ORENDA CHARTER,14,31,69,31,8,18,GATEWAY TECH H,ORENDA CHARTER,23,43,57,52,9
66,14804006,17,GATEWAY COLLEGE,ORENDA CHARTER,85,13,87,80,18,18,GATEWAY COLLEGE,ORENDA CHARTER,82,6,94,82,13
67,14901001,17,ACADEMY H S,ACADEMY ISD,153,31,69,53,7,18,ACADEMY H S,ACADEMY ISD,135,18,82,63,9
68,14902001,17,BARTLETT SCHOOL,BARTLETT ISD,33,45,55,32,0,18,BARTLETT SCHOOL,BARTLETT ISD,31,33,67,60,3
69,14903001,17,BELTON H S,BELTON ISD,829,39,61,45,7,18,BELTON H S,BELTON ISD,847,37,63,50,9
70,14903005,17,BELTON NEW TECH,BELTON ISD,147,17,83,68,14,18,BELTON NEW TECH,BELTON ISD,146,16,84,70,9
71,14905001,17,HOLLAND H S,HOLLAND ISD,66,24,76,56,2,18,HOLLAND H S,HOLLAND ISD,59,15,85,66,2
72,14906001,17,KILLEEN H S,KILLEEN ISD,808,54,46,28,3,18,KILLEEN H S,KILLEEN ISD,685,45,55,36,2
73,14906002,17,C E ELLISON H S,KILLEEN ISD,869,42,58,39,3,18,C E ELLISON H S,KILLEEN ISD,765,34,66,44,3
74,14906006,17,PATHWAYS ACADEM,KILLEEN ISD,53,76,24,2,0,18,PATHWAYS ACADEM,KILLEEN ISD,93,79,21,8,0
75,14906007,17,HARKER HEIGHTS,KILLEEN ISD,762,34,66,50,8,18,HARKER HEIGHTS,KILLEEN ISD,735,28,72,53,8
76,14906008,17,ROBERT M SHOEMA,KILLEEN ISD,823,56,44,27,3,18,ROBERT M SHOEMA,KILLEEN ISD,733,50,50,31,2
77,14906013,17,KILLEEN ISD EAR,KILLEEN ISD,306,6,94,83,8,18,KILLEEN ISD EAR,KILLEEN ISD,267,4,96,89,16
78,14907001,17,ROGERS H S,ROGERS ISD,80,48,53,46,13,18,ROGERS H S,ROGERS ISD,70,21,79,57,7
79,14908001,17,SALADO H S,SALADO ISD,161,29,71,60,11,18,SALADO H S,SALADO ISD,158,23,77,64,15
80,14909002,17,TEMPLE H S,TEMPLE ISD,764,56,44,28,4,18,TEMPLE H S,TEMPLE ISD,687,48,52,34,3
81,14909008,17,FRED W EDWARDS,TEMPLE ISD,53,81,19,6,0,18,FRED W EDWARDS,TEMPLE ISD,81,90,10,3,1
82,14910001,17,TROY H S,TROY ISD,135,27,73,60,7,18,TROY H S,TROY ISD,118,17,83,73,15
83,15801001,17,POR VIDA ACADEM,POR VIDA ACADEM,42,68,32,15,0,18,POR VIDA ACADEM,POR VIDA ACADEM,45,72,28,9,0
84,15801002,17,CORPUS CHRISTI,POR VIDA ACADEM,15,73,27,7,0,18,CORPUS CHRISTI,POR VIDA ACADEM,18,72,28,22,6
85,15801003,17,CESAR E CHAVEZ,POR VIDA ACADEM,25,60,40,16,0,18,CESAR E CHAVEZ,POR VIDA ACADEM,22,82,18,9,0
86,15802001,17,GEORGE GERVIN A,GEORGE GERVIN A,45,25,75,48,0,18,GEORGE GERVIN A,GEORGE GERVIN A,55,42,58,45,0
87,15805001,17,FRANK L MADLA E,NEW FRONTIERS C,82,10,90,60,5,18,FRANK L MADLA E,NEW FRONTIERS P,71,21,79,61,6
88,15806003,17,MILTON B LEE AC,SCHOOL OF EXCEL,54,46,54,33,4,18,MILTON B LEE AC,SCHOOL OF EXCEL,31,32,68,45,6
89,15807002,17,SOUTHWEST PREPA,SOUTHWEST PREPA,32,53,47,22,0,18,SOUTHWEST PREPA,SOUTHWEST PREPA,32,56,44,28,0
90,15807004,17,SOUTHWEST PREPA,SOUTHWEST PREPA,50,62,38,18,0,18,SOUTHWEST PREPA,SOUTHWEST PREPA,35,57,43,31,6
91,15807005,17,NEW DIRECTIONS,SOUTHWEST PREPA,47,63,37,22,2,18,NEW DIRECTIONS,SOUTHWEST PREPA,23,65,35,22,4
92,15808001,17,JOHN H WOOD JR,JOHN H WOOD JR,60,87,13,5,0,18,JHW INSPIRE ACA,INSPIRE ACADEMI,24,55,45,41,0
93,15808003,17,JOHN H WOOD JR,JOHN H WOOD JR,34,83,17,17,0,18,JHW INSPIRE ACA,INSPIRE ACADEMI,9,63,38,25,0
94,15808006,17,JOHN H WOOD JR,JOHN H WOOD JR,32,84,16,3,0,18,JHW INSPIRE ACA,INSPIRE ACADEMI,23,64,36,18,0
95,15808007,17,ROCKDALE,JOHN H WOOD JR,38,66,34,20,0,18,JHW INSPIRE ACA,INSPIRE ACADEMI,3,,,,
96,15808009,17,ANNE FRANK INSP,JOHN H WOOD JR,22,18,82,64,0,18,ANNE FRANK INSP,INSPIRE ACADEMI,22,23,77,68,18
97,15808010,17,MERIDELL,JOHN H WOOD JR,23,68,32,23,0,18,JHW INSPIRE ACA,INSPIRE ACADEMI,22,38,62,43,0
98,15808011,17,WILLIAMS HOUSE,JOHN H WOOD JR,5,,,,,18,JHW INSPIRE ACA,INSPIRE ACADEMI,6,83,17,0,0
99,15814001,17,POSITIVE SOLUTI,POSITIVE SOLUTI,37,80,20,17,0,18,POSITIVE SOLUTI,POSITIVE SOLUTI,33,53,47,16,0
100,15815041,17,HERITAGE ACADEM,HERITAGE ACADEM,58,66,34,16,0,18,HERITAGE ACADEM,HERITAGE ACADEM,40,38,63,40,0
101,15822001,17,ATHLOS LEADERSH,JUBILEE ACADEMI,123,62,38,25,2,18,JUBILEE SAN ANT,JUBILEE ACADEMI,101,40,60,38,1
102,15822010,17,ATHLOS LEADERSH,JUBILEE ACADEMI,84,24,76,57,4,18,JUBILEE BROWNSV,JUBILEE ACADEMI,68,29,71,46,3
103,15826001,17,KIPP UNIVERSITY,KIPP SAN ANTONI,278,46,54,35,4,18,KIPP UNIVERSITY,KIPP SAN ANTONI,259,38,62,47,8
104,15827001,17,SCHOOL OF SCIEN,SCHOOL OF SCIEN,97,19,81,70,5,18,SCHOOL OF SCIEN,SCHOOL OF SCIEN,84,18,82,76,6
105,15828001,17,HARMONY SCIENCE,HARMONY SCIENCE,122,39,61,48,6,18,HARMONY SCIENCE,HARMONY SCIENCE,110,27,73,61,8
106,15830001,17,BROOKS ACADEMY,BROOKS ACADEMY,183,47,53,37,2,18,BROOKS ACADEMY,BROOKS ACADEMY,177,43,57,42,3
107,15831002,17,SCHOOL OF SCIEN,SCHOOL OF SCIEN,36,44,56,36,8,18,SCHOOL OF SCIEN,SCHOOL OF SCIEN,29,52,48,31,7
108,15833001,17,HENRY FORD ACAD,HENRY FORD ACAD,29,28,72,55,3,18,HENRY FORD ACAD,HENRY FORD ACAD,42,32,68,51,5
109,15834001,17,BASIS SAN ANTON,BASIS TEXAS,48,0,100,98,35,18,BASIS SAN ANTON,BASIS TEXAS,106,0,100,95,31
110,15835002,17,GREAT HEARTS MO,GREAT HEARTS TE,53,8,92,85,21,18,GREAT HEARTS MO,GREAT HEARTS TE,53,0,100,87,19
111,15837001,17,CARPE DIEM SCHO,CARPE DIEM SCHO,61,64,36,19,0,18,CARPE DIEM SCHO,CARPE DIEM SCHO,35,46,54,29,3
112,15901001,17,ALAMO HEIGHTS H,ALAMO HEIGHTS I,431,22,78,65,14,18,ALAMO HEIGHTS H,ALAMO HEIGHTS I,426,20,80,65,9
113,15904001,17,HARLANDALE H S,HARLANDALE ISD,642,54,46,27,1,18,HARLANDALE H S,HARLANDALE ISD,530,40,60,39,2
114,15904002,17,MCCOLLUM H S,HARLANDALE ISD,530,48,52,34,2,18,MCCOLLUM H S,HARLANDALE ISD,461,38,62,45,4
115,15904004,17,FRANK M TEJEDA,HARLANDALE ISD,55,90,10,2,0,18,FRANK M TEJEDA,HARLANDALE ISD,89,86,14,3,0
116,15904011,17,HARLANDALE ISD,HARLANDALE ISD,12,75,25,8,0,18,HARLANDALE ISD,HARLANDALE ISD,95,17,83,74,7
117,15905002,17,JOHN F KENNEDY,EDGEWOOD ISD,503,64,36,17,2,18,JOHN F KENNEDY,EDGEWOOD ISD,402,51,49,32,3
118,15905003,17,MEMORIAL H S,EDGEWOOD ISD,505,61,39,22,1,18,MEMORIAL H S,EDGEWOOD ISD,487,57,43,26,1
119,15906001,17,RANDOLPH H S,RANDOLPH FIELD,121,13,87,69,13,18,RANDOLPH H S,RANDOLPH FIELD,124,15,85,70,13
120,15907001,17,BRACKENRIDGE H,SAN ANTONIO ISD,558,57,43,24,1,18,BRACKENRIDGE H,SAN ANTONIO ISD,492,45,55,37,2
121,15907002,17,BURBANK H S,SAN ANTONIO ISD,417,61,39,23,1,18,BURBANK H S,SAN ANTONIO ISD,402,54,46,28,3
122,15907003,17,EDISON H S,SAN ANTONIO ISD,555,58,42,23,1,18,EDISON H S,SAN ANTONIO ISD,548,50,50,33,2
123,15907004,17,FOX TECHNICAL H,SAN ANTONIO ISD,99,12,88,65,7,18,FOX TECHNICAL H,SAN ANTONIO ISD,109,9,91,81,7
124,15907005,17,HIGHLANDS H S,SAN ANTONIO ISD,791,66,34,18,0,18,HIGHLANDS H S,SAN ANTONIO ISD,660,61,39,21,0
125,15907006,17,HOUSTON H S,SAN ANTONIO ISD,463,69,31,17,1,18,HOUSTON H S,SAN ANTONIO ISD,393,65,35,21,2
126,15907007,17,JEFFERSON H S,SAN ANTONIO ISD,622,56,44,28,2,18,JEFFERSON H S,SAN ANTONIO ISD,584,52,48,29,1
127,15907008,17,LANIER H S,SAN ANTONIO ISD,774,73,27,12,0,18,LANIER H S,SAN ANTONIO ISD,682,64,36,16,0
128,15907022,17,TRAVIS EARLY CO,SAN ANTONIO ISD,82,5,95,91,28,18,TRAVIS EARLY CO,SAN ANTONIO ISD,84,0,100,95,31
129,15907023,17,YOUNG WOMEN'S L,SAN ANTONIO ISD,74,0,100,93,26,18,YOUNG WOMEN'S L,SAN ANTONIO ISD,57,0,100,95,26
130,15907024,17,COOPER ACADEMY,SAN ANTONIO ISD,118,88,12,4,0,18,COOPER ACADEMY,SAN ANTONIO ISD,121,90,10,1,0
131,15907025,17,ST PHILIP'S COL,SAN ANTONIO ISD,85,19,81,65,5,18,ST PHILIP'S COL,SAN ANTONIO ISD,69,22,78,57,1
132,15907026,17,ADVANCED LEARNI,SAN ANTONIO ISD,17,18,82,76,29,18,ADVANCED LEARNI,SAN ANTONIO ISD,20,15,85,70,20
133,15907064,17,PICKETT ACADEMY,SAN ANTONIO ISD,5,100,0,0,0,18,BREWER ACADEMY,SAN ANTONIO ISD,7,100,0,0,0
134,15907182,17,HEALY-MURPHY,SAN ANTONIO ISD,44,81,19,6,0,18,HEALY-MURPHY,SAN ANTONIO ISD,45,93,7,2,0
135,15907195,17,JUVENILE DETENT,SAN ANTONIO ISD,68,82,18,6,0,18,JUVENILE DETENT,SAN ANTONIO ISD,16,86,14,7,0
136,15908001,17,SOUTH SAN ANTON,SOUTH SAN ANTON,901,51,49,28,1,18,SOUTH SAN ANTON,SOUTH SAN ANTON,796,45,55,40,4
137,15909001,17,SOMERSET H S,SOMERSET ISD,377,54,46,25,3,18,SOMERSET H S,SOMERSET ISD,325,42,58,37,4
138,15909006,17,SHIRLEEN ZACHAR,SOMERSET ISD,37,30,70,54,3,18,SHIRLEEN ZACHAR,SOMERSET ISD,36,11,89,67,6
139,15910001,17,LEE H S,NORTH EAST ISD,906,43,57,41,7,18,LEE H S,NORTH EAST ISD,842,38,62,47,7
140,15910002,17,MACARTHUR H S,NORTH EAST ISD,743,30,70,52,10,18,MACARTHUR H S,NORTH EAST ISD,703,29,71,57,10
141,15910003,17,CHURCHILL H S,NORTH EAST ISD,788,25,75,60,13,18,CHURCHILL H S,NORTH EAST ISD,764,24,76,66,12
142,15910004,17,ROOSEVELT H S,NORTH EAST ISD,1001,47,53,37,6,18,ROOSEVELT H S,NORTH EAST ISD,905,42,58,44,7
143,15910005,17,MADISON H S,NORTH EAST ISD,1087,33,67,50,8,18,MADISON H S,NORTH EAST ISD,948,26,74,56,8
144,15910007,17,REAGAN H S,NORTH EAST ISD,909,10,90,81,28,18,REAGAN H S,NORTH EAST ISD,883,9,91,82,24
145,15910009,17,INTERNATIONAL S,NORTH EAST ISD,123,7,93,84,24,18,INTERNATIONAL S,NORTH EAST ISD,125,6,94,82,20
146,15910014,17,JOHNSON H S,NORTH EAST ISD,766,13,87,79,24,18,JOHNSON H S,NORTH EAST ISD,783,11,89,80,23
147,15911001,17,EAST CENTRAL H,EAST CENTRAL IS,1050,49,51,33,3,18,EAST CENTRAL H,EAST CENTRAL IS,993,43,57,39,3
148,15911005,17,BEXAR COUNTY LR,EAST CENTRAL IS,41,85,15,5,0,18,BEXAR COUNTY LR,EAST CENTRAL IS,12,92,8,8,0
149,15912001,17,SOUTHWEST H S,SOUTHWEST ISD,1190,50,50,33,3,18,SOUTHWEST H S,SOUTHWEST ISD,568,44,56,40,3
150,15912011,17,SOUTHWEST ACADE,SOUTHWEST ISD,50,84,16,4,0,18,SOUTHWEST ACADE,SOUTHWEST ISD,48,87,13,4,0
151,15913001,17,VIRGINIA ALLRED,LACKLAND ISD,53,28,72,49,2,18,VIRGINIA ALLRED,LACKLAND ISD,43,19,81,67,21
152,15914001,17,ROBERT G COLE M,FT SAM HOUSTON,111,21,79,66,10,18,ROBERT G COLE M,FT SAM HOUSTON,102,18,82,72,5
153,15915001,17,HOLMES H S,NORTHSIDE ISD,1022,48,52,34,3,18,HOLMES H S,NORTHSIDE ISD,915,41,59,39,2
154,15915002,17,JAY H S,NORTHSIDE ISD,1131,54,46,29,4,18,JAY H S,NORTHSIDE ISD,1021,47,53,35,6
155,15915003,17,MARSHALL H S,NORTHSIDE ISD,793,33,67,49,7,18,MARSHALL H S,NORTHSIDE ISD,759,30,70,53,6
156,15915005,17,CLARK H S,NORTHSIDE ISD,779,24,76,61,11,18,CLARK H S,NORTHSIDE ISD,747,21,79,68,11
157,15915006,17,HEALTH CAREERS,NORTHSIDE ISD,221,0,100,100,46,18,HEALTH CAREERS,NORTHSIDE ISD,200,0,100,99,48
158,15915007,17,TAFT H S,NORTHSIDE ISD,969,25,75,59,12,18,TAFT H S,NORTHSIDE ISD,600,20,80,66,12
159,15915016,17,O'CONNOR H S,NORTHSIDE ISD,997,21,79,66,14,18,O'CONNOR H S,NORTHSIDE ISD,956,20,80,66,14
160,15915019,17,WARREN H S,NORTHSIDE ISD,906,26,74,54,7,18,WARREN H S,NORTHSIDE ISD,862,20,80,63,8
161,15915022,17,STEVENS H S,NORTHSIDE ISD,912,43,57,38,4,18,STEVENS H S,NORTHSIDE ISD,832,35,65,44,4
162,15915023,17,BRANDEIS H S,NORTHSIDE ISD,740,23,77,66,23,18,BRANDEIS H S,NORTHSIDE ISD,712,18,82,72,19
163,15915024,17,BRENNAN H S,NORTHSIDE ISD,909,28,72,57,7,18,BRENNAN H S,NORTHSIDE ISD,789,22,78,64,8
164,15916001,17,JUDSON H S,JUDSON ISD,849,47,53,34,3,18,JUDSON H S,JUDSON ISD,803,40,60,40,3
165,15916003,17,JUDSON LEARNING,JUDSON ISD,6,83,17,0,0,18,JUDSON LEARNING,JUDSON ISD,15,60,40,33,0
166,15916008,17,KAREN WAGNER H,JUDSON ISD,745,52,48,30,3,18,KAREN WAGNER H,JUDSON ISD,609,45,55,36,3
167,15916009,17,JUDSON EARLY CO,JUDSON ISD,125,1,99,96,27,18,JUDSON EARLY CO,JUDSON ISD,120,0,100,96,26
168,15916010,17,VETERANS MEMORI,JUDSON ISD,442,33,67,49,5,18,VETERANS MEMORI,JUDSON ISD,411,26,74,54,11
169,15917001,17,SOUTHSIDE H S,SOUTHSIDE ISD,573,58,42,25,2,18,SOUTHSIDE H S,SOUTHSIDE ISD,518,48,52,35,3
170,16901001,17,LYNDON B JOHNSO,JOHNSON CITY IS,69,38,62,45,6,18,LYNDON B JOHNSO,JOHNSON CITY IS,71,41,59,44,3
171,16902001,17,BLANCO H S,BLANCO ISD,96,42,58,42,7,18,BLANCO H S,BLANCO ISD,94,31,69,59,12
172,17901001,17,BORDEN COUNTY S,BORDEN COUNTY I,24,4,96,79,17,18,BORDEN COUNTY S,BORDEN COUNTY I,24,4,96,88,33
173,18901001,17,CLIFTON H S,CLIFTON ISD,93,32,68,55,5,18,CLIFTON H S,CLIFTON ISD,84,33,67,52,12
174,18902001,17,MERIDIAN H S,MERIDIAN ISD,46,24,76,61,17,18,MERIDIAN H S,MERIDIAN ISD,52,34,66,60,12
175,18903001,17,MORGAN SCHOOL,MORGAN ISD,14,50,50,14,0,18,MORGAN SCHOOL,MORGAN ISD,3,,,,
176,18904001,17,VALLEY MILLS H,VALLEY MILLS IS,81,40,60,41,1,18,VALLEY MILLS H,VALLEY MILLS IS,78,29,71,51,1
177,18905003,17,WALNUT SPRINGS,WALNUT SPRINGS,15,33,67,53,7,18,WALNUT SPRINGS,WALNUT SPRINGS,14,57,43,29,0
178,18906001,17,IREDELL SCHOOL,IREDELL ISD,8,25,75,50,13,18,IREDELL SCHOOL,IREDELL ISD,7,0,100,100,0
179,18907001,17,KOPPERL SCHOOL,KOPPERL ISD,16,50,50,31,0,18,KOPPERL SCHOOL,KOPPERL ISD,15,47,53,40,7
180,18908001,17,CRANFILLS GAP S,CRANFILLS GAP I,13,8,92,50,0,18,CRANFILLS GAP S,CRANFILLS GAP I,11,27,73,73,0
181,19901001,17,DEKALB H S,DEKALB ISD,74,33,67,51,4,18,DEKALB H S,DEKALB ISD,74,38,62,49,1
182,19902002,17,HOOKS H S,HOOKS ISD,103,37,63,43,6,18,HOOKS H S,HOOKS ISD,96,41,59,42,3
183,19903001,17,MAUD SCHOOL,MAUD ISD,39,28,72,54,3,18,MAUD SCHOOL,MAUD ISD,34,18,82,56,3
184,19905001,17,NEW BOSTON H S,NEW BOSTON ISD,145,41,59,30,1,18,NEW BOSTON H S,NEW BOSTON ISD,120,45,55,40,3
185,19906001,17,REDWATER H S,REDWATER ISD,102,28,72,57,11,18,REDWATER H S,REDWATER ISD,92,30,70,52,4
186,19907002,17,TEXAS H S,TEXARKANA ISD,600,40,60,45,10,18,TEXAS H S,TEXARKANA ISD,550,33,67,51,10
187,19907003,17,OPTIONS,TEXARKANA ISD,16,88,13,0,0,18,OPTIONS,TEXARKANA ISD,39,82,18,5,0
