FID,SDLEA10,NAME,NAME2,E1E2_STAAR,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
503,13500,Central ISD,Central,-5,3907,003-907,3907,4813500,7,244224530.9,119567.713,337937994,140617.313
750,13590,Channelview ISD,Channelview,0,101905,101-905,101905,4813590,3,52047618.91,37628.98011,69600636.13,43492.41827
162,13620,Channing ISD,Channing,-5,103901,103-901,103901,4813620,3,3496523584,403632.0327,5300510124,497088.6062
312,13650,Chapel Hill ISD (Smith),Chapel Hill (Smith),0,212909,212-909,212909,4813650,6,342663895.5,117299.3709,483419296.1,139334.6387
978,13680,Chapel Hill ISD (Titus),Chapel Hill (Titus),0,225906,225-906,225906,4813680,7,137763609.8,83037.84888,197435954.3,99399.36162
533,13710,Charlotte ISD,Charlotte,-5,7901,007-901,7901,4813710,7,632853920.6,149917.3414,829568570.9,171705.6684
578,13740,Cherokee ISD,Cherokee,-5,206903,206-903,206903,4813740,4,621288068,163117.6776,851620907,190847.2362
799,13770,Chester ISD,Chester,-5,229906,229-906,229906,4813770,5,446211520.6,139239.6244,611253845.9,163012.0433
227,13800,Chico ISD,Chico,-5,249904,249-904,249904,4813800,2,292350078.6,140959.9273,421075867.5,169183.0655
423,13860,Childress ISD,Childress,-5,38901,038-901,38901,4813860,4,1684759690,239974.0018,2485685235,291568.4626
421,13890,Chillicothe ISD,Chillicothe,-5,99902,099-902,99902,4813890,5,680241633.8,199957.101,999644309.7,242449.1864
2,13920,Chilton ISD,Chilton,-5,73901,073-901,73901,4813920,4,229408644.1,111898.2155,316601651.1,131412.9877
851,13960,China Spring ISD,China Spring,-5,161920,161-920,161920,4813960,1,185303294.5,89791.18381,257672166.2,105819.1676
633,13980,Chireno ISD,Chireno,-5,174901,174-901,174901,4813980,6,254812894.3,113327.7412,353154154.7,133390.0205
692,12,Chisum ISD,Chisum,-5,139905,139-905,139905,4800012,3,526038188.2,262280.9584,761903730.9,315685.576
288,14010,Christoval ISD,Christoval,-5,226901,226-901,226901,4814010,2,805310643.5,137040.3339,1108506969,160735.1199
103,14070,Cisco ISD,Cisco,-5,67902,067-902,67902,4814070,6,566791772.9,148432.5808,799946279.4,176329.892
962,14130,City View ISD,City View,-5,243906,243-906,243906,4814130,1,36836057.02,31888.63307,53769611.27,38550.18545
522,14160,Clarendon ISD,Clarendon,-5,65901,065-901,65901,4814160,5,2263868380,322771.6546,3371877003,394007.7994
985,14190,Clarksville ISD,Clarksville,-5,194904,194-904,194904,4814190,3,1225687407,227551.0453,1777324814,274116.068
520,14250,Claude ISD,Claude,-5,6902,006-902,6902,4814250,4,2132660295,254719.5428,3181923310,311089.9279
742,14280,Clear Creek ISD,Clear Creek,1,84910,084-910,84910,4814280,1,272297165,123475.8623,362285390.1,142377.921
667,14310,Cleburne ISD,Cleburne,-5,126903,126-903,126903,4814310,1,505288437.6,193583.9928,712174529.8,229877.8286
755,14370,Cleveland ISD,Cleveland,0,146901,146-901,146901,4814370,6,371288819.1,154343.0944,501665545.9,179518.0491
867,14400,Clifton ISD,Clifton,-5,18901,018-901,18901,4814400,7,566046359.3,249124.0599,789121862.5,294092.5673
236,14430,Clint ISD,Clint,1,71901,071-901,71901,4814430,1,972470112,146727.0634,1355264837,173350.4482
707,14450,Clyde Cons ISD,Clyde Cons,-5,30902,030-902,30902,4814450,1,875438824.2,271585.8635,1235648457,322813.1353
246,14490,Coahoma ISD,Coahoma,-5,114902,114-902,114902,4814490,6,784171008.6,137852.4575,1106004122,163766.8917
795,14520,Coldspring-Oakhurst Cons ISD,Coldspring-Oakhurst Cons,-5,204901,204-901,204901,4814520,3,1058500634,219919.0565,1440602079,256575.598
710,33210,Coleman ISD,Coleman,-5,42901,042-901,42901,4833210,2,1192774301,229988.687,1668585065,271900.2165
732,7350,College Station ISD,College Station,0,21901,021-901,21901,4807350,6,264982630.3,124129.1794,359947514,144679.3399
18,14580,Collinsville ISD,Collinsville,-5,91902,091-902,91902,4814580,6,136036422.1,72181.30638,196896746.4,86837.34933
803,14600,Colmesneil ISD,Colmesneil,-5,229901,229-901,229901,4814600,4,561294424.2,164478.7475,768817106.2,192484.025
223,14640,Colorado ISD,Colorado,-5,168901,168-901,168901,4814640,4,1120796442,304467.1332,1579345105,361312.6276
764,14670,Columbia-Brazoria ISD,Columbia-Brazoria,-5,20907,020-907,20907,4814670,4,642356235.1,228778.1614,847600661.3,262809.9608
535,14700,Columbus ISD,Columbus,0,45902,045-902,45902,4814700,4,1034142180,232756.3854,1381439748,268995.6449
